"Countries, territories and areas","Data Source","Beverage Types","2009","2008","2007","2006","2005","2004","2003","2002","2001","2000"
"Liberia","(FAO) 1961-1999; (FAO, GlobalData, Wine Institute) 2000-2017","Beer","0.34","0.34","0.34","0.30","0.29","0.25","0.15","0.15","0.17","0.17"
"Liberia","(FAO) 1961-1999; (FAO, GlobalData, Wine Institute) 2000-2017","Wine","0.01","0.01","0.01","0","0","0","0","0","0","0"
"Liberia","(FAO) 1961-1999; (FAO, GlobalData, Wine Institute) 2000-2017","Spirits","3.41","3.55","3.69","3.76","3.90","4.00","4.08","4.14","4.25","4.30"
"Liberia","(FAO) 1961-1999; (FAO, GlobalData, Wine Institute) 2000-2017","Other alcoholic beverages","0.00","0.00","0.00","0.00","0","0","0","0","0","0"
"Libya","(FAO) 1961-1999; (FAO, Wine Institute) 2000-2017","All types","0.01","0.01","0.01","0.01","0.01","0.01","0.01","0.00","0.00","0.01"
"Libya","(FAO) 1961-1999; (FAO, Wine Institute) 2000-2017","Beer","0.01","0.00","0.00","0.01","0.00","0","0","0","0","0"
"Libya","(FAO) 1961-1999; (FAO, Wine Institute) 2000-2017","Wine","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"Libya","(FAO) 1961-1999; (FAO, Wine Institute) 2000-2017","Spirits","0.01","0.01","0.00","0","0.00","0.01","0.01","0","0","0.01"
"Libya","(FAO) 1961-1999; (FAO, Wine Institute) 2000-2017","Other alcoholic beverages","0.00","0.00","0.00","0.00","0","0","0","0","0","0"
"Lithuania","(FAO) 1984-1999; WHO 2000-2004; Statistics Lithuania 2005-2018","All types","12.97","13.79","13.79","13.34","12.42","12.10","11.29","11.00","10.20","9.87"
"Lithuania","(FAO) 1984-1999; WHO 2000-2004; Statistics Lithuania 2005-2018","Beer","4.96","4.93","5.04","5.42","5.19","4.62","4.58","4.66","4.00","3.78"
"Lithuania","(FAO) 1984-1999; WHO 2000-2004; Statistics Lithuania 2005-2018","Wine","1.06","0.99","1.03","1.98","1.63","2.37","2.24","2.06","1.89","2.10"
"Lithuania","(FAO) 1984-1999; WHO 2000-2004; Statistics Lithuania 2005-2018","Spirits","5.00","5.78","5.76","4.92","4.66","4.31","3.71","3.59","3.67","3.30"
"Lithuania","(FAO) 1984-1999; WHO 2000-2004; Statistics Lithuania 2005-2018","Other alcoholic beverages","1.96","2.08","1.96","1.01","0.94","0.79","0.76","0.69","0.64","0.69"
"Luxembourg","(FAO) 1961-1999; Average of France and Germany consumption 2000-2018","All types","11.98","11.99","12.27","12.50","12.31","12.34","12.52","12.88","13.10","13.21"
"Luxembourg","(FAO) 1961-1999; Average of France and Germany consumption 2000-2018","Beer","4.30","4.27","4.41","4.57","4.47","4.27","4.36","4.46","4.54","4.74"
"Luxembourg","(FAO) 1961-1999; Average of France and Germany consumption 2000-2018","Wine","5.26","5.28","5.42","5.44","5.39","5.50","5.66","5.83","5.92","5.86"
"Luxembourg","(FAO) 1961-1999; Average of France and Germany consumption 2000-2018","Spirits","2.43","2.44","2.44","2.49","2.45","2.58","2.50","2.59","2.65","2.61"
"Luxembourg","(FAO) 1961-1999; Average of France and Germany consumption 2000-2018","Other alcoholic beverages","0","0","0","0","0","0","0","0","0","0"
"Madagascar","(FAO) 1961-1999; (FAO, GlobalData, OIV) 2000-2017","All types","0.83","0.61","0.64","0.59","0.74","0.80","0.83","0.80","1.05","1.17"
"Madagascar","(FAO) 1961-1999; (FAO, GlobalData, OIV) 2000-2017","Beer","0.40","0.37","0.38","0.34","0.34","0.36","0.38","0.28","0.41","0.39"
"Madagascar","(FAO) 1961-1999; (FAO, GlobalData, OIV) 2000-2017","Wine","0.10","0.10","0.10","0.08","0.07","0.12","0.12","0.12","0.12","0.13"
"Madagascar","(FAO) 1961-1999; (FAO, GlobalData, OIV) 2000-2017","Spirits","0.34","0.14","0.16","0.17","0.33","0.32","0.33","0.40","0.52","0.64"
"Madagascar","(FAO) 1961-1999; (FAO, GlobalData, OIV) 2000-2017","Other alcoholic beverages","0.00","0.00","0.00","0.00","0","0","0","0","0","0"
"Malawi","(FAO) 1961-1999; (FAO, GlobalData, Wine Institute) 2000-2017","All types","1.73","1.90","1.93","1.94","1.45","1.25","1.22","1.25","1.30","1.36"
"Malawi","(FAO) 1961-1999; (FAO, GlobalData, Wine Institute) 2000-2017","Beer","0.15","0.14","0.14","0.14","0.14","0.14","0.15","0.15","0.15","0.16"
"Malawi","(FAO) 1961-1999; (FAO, GlobalData, Wine Institute) 2000-2017","Wine","0.02","0.15","0.00","0.01","0.01","0.01","0.02","0.01","0.01","0.01"
"Malawi","(FAO) 1961-1999; (FAO, GlobalData, Wine Institute) 2000-2017","Spirits","0.20","0.15","0.19","0.22","0.22","0.28","0.24","0.25","0.28","0.29"
"Malawi","(FAO) 1961-1999; (FAO, GlobalData, Wine Institute) 2000-2017","Other alcoholic beverages","1.36","1.45","1.60","1.58","1.08","0.81","0.81","0.83","0.86","0.90"
"Malaysia","(FAO) 1961-1979; (WDT) 1980-1999; (GlobalData, IWSR) 2000-2018","All types","0.50","0.50","0.46","0.45","0.49","0.51","0.51","0.52","0.52","0.56"
"Malaysia","(FAO) 1961-1979; (WDT) 1980-1999; (GlobalData, IWSR) 2000-2018","Beer","0.37","0.38","0.34","0.34","0.38","0.41","0.41","0.41","0.42","0.45"
"Malaysia","(FAO) 1961-1979; (WDT) 1980-1999; (GlobalData, IWSR) 2000-2018","Wine","0.03","0.03","0.03","0.02","0.02","0.02","0.02","0.02","0.02","0.02"
"Malaysia","(FAO) 1961-1979; (WDT) 1980-1999; (GlobalData, IWSR) 2000-2018","Spirits","0.09","0.09","0.08","0.08","0.08","0.07","0.08","0.08","0.08","0.08"
"Malaysia","(FAO) 1961-1979; (WDT) 1980-1999; (GlobalData, IWSR) 2000-2018","Other alcoholic beverages","0.01","0.01","0.01","0.01","0.01","0.01","0.01","0.01","0.01","0.01"
"Maldives","(FAO) 1961-1999; (FAO, Wine Institute) 2000-2017","All types","1.41","1.52","1.51","1.41","1.23","1.67","1.95","1.82","1.74","1.99"
"Maldives","(FAO) 1961-1999; (FAO, Wine Institute) 2000-2017","Beer","0.39","0.46","0.49","0.47","0.36","0.51","0.44","0.39","0.42","0.48"
"Maldives","(FAO) 1961-1999; (FAO, Wine Institute) 2000-2017","Wine","0.31","0.35","0.35","0.28","0.29","0.35","0.33","0.18","0.15","0.15"
"Maldives","(FAO) 1961-1999; (FAO, Wine Institute) 2000-2017","Spirits","0.71","0.71","0.67","0.65","0.58","0.82","1.18","1.24","1.17","1.37"
"Maldives","(FAO) 1961-1999; (FAO, Wine Institute) 2000-2017","Other alcoholic beverages","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0","0"
"Mali","(FAO) 1961-1999; (FAO, GlobalData, Wine Institute) 2000-2017","All types","0.57","0.58","0.56","0.55","0.55","0.55","0.56","0.61","0.60","0.58"
"Mali","(FAO) 1961-1999; (FAO, GlobalData, Wine Institute) 2000-2017","Beer","0.07","0.07","0.07","0.06","0.06","0.06","0.06","0.06","0.06","0.06"
"Mali","(FAO) 1961-1999; (FAO, GlobalData, Wine Institute) 2000-2017","Wine","0.00","0.00","0.00","0.00","0.00","0.00","0.01","0.05","0.02","0.02"
"Mali","(FAO) 1961-1999; (FAO, GlobalData, Wine Institute) 2000-2017","Spirits","0.01","0.02","0.01","0.01","0.00","0.01","0.01","0.01","0.01","0.00"
"Mali","(FAO) 1961-1999; (FAO, GlobalData, Wine Institute) 2000-2017","Other alcoholic beverages","0.48","0.49","0.48","0.48","0.48","0.48","0.49","0.49","0.51","0.49"
"Malta","(FAO) 1961-1987; (WDT) 1988-1999; (GlobalData, IWSR, OIV) 2000-2018","All types","7.10","6.87","7.47","8.25","6.14","6.61","6.54","6.12","5.99","5.94"
"Malta","(FAO) 1961-1987; (WDT) 1988-1999; (GlobalData, IWSR, OIV) 2000-2018","Beer","2.77","2.77","2.77","2.20","1.75","1.90","1.88","2.67","2.77","2.88"
"Malta","(FAO) 1961-1987; (WDT) 1988-1999; (GlobalData, IWSR, OIV) 2000-2018","Wine","2.50","2.27","2.80","4.16","2.54","2.54","2.54","1.31","1.13","0.94"
"Malta","(FAO) 1961-1987; (WDT) 1988-1999; (GlobalData, IWSR, OIV) 2000-2018","Spirits","1.52","1.51","1.58","1.56","1.54","1.85","1.81","1.83","1.78","1.81"
"Malta","(FAO) 1961-1987; (WDT) 1988-1999; (GlobalData, IWSR, OIV) 2000-2018","Other alcoholic beverages","0.31","0.32","0.33","0.33","0.31","0.31","0.31","0.31","0.31","0.31"
"Mauritania","(FAO) 1961-2000; (FAO, Wine Institute) 2001-2017","All types","0.00","0.02","0.02","0.01","0.01","0.01","0.00","0.01","0.01","0.03"
"Mauritania","(FAO) 1961-2000; (FAO, Wine Institute) 2001-2017","Beer","0.00","0.00","0.00","0.00","0","0","0","0","0","0"
"Mauritania","(FAO) 1961-2000; (FAO, Wine Institute) 2001-2017","Wine","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.01"
"Mauritania","(FAO) 1961-2000; (FAO, Wine Institute) 2001-2017","Spirits","0","0.01","0.02","0.01","0.01","0.01","0","0.01","0.01","0.02"
"Mauritania","(FAO) 1961-2000; (FAO, Wine Institute) 2001-2017","Other alcoholic beverages","0.00","0.00","0.00","0","0","0","0","0","0","0"
"Mauritius","(FAO) 1961-1999; (FAO, GlobalData, IWSR) 2000-2018","All types","2.80","2.47","3.23","3.72","3.83","4.10","4.02","3.91","4.31","4.58"
"Mauritius","(FAO) 1961-1999; (FAO, GlobalData, IWSR) 2000-2018","Beer","1.98","1.56","1.79","1.81","1.96","1.99","2.00","1.92","2.15","2.21"
"Mauritius","(FAO) 1961-1999; (FAO, GlobalData, IWSR) 2000-2018","Wine","0.24","0.33","0.30","0.28","0.20","0.22","0.22","0.20","0.20","0.27"
"Mauritius","(FAO) 1961-1999; (FAO, GlobalData, IWSR) 2000-2018","Spirits","0.58","0.56","1.12","1.61","1.66","1.88","1.80","1.79","1.96","2.10"
"Mauritius","(FAO) 1961-1999; (FAO, GlobalData, IWSR) 2000-2018","Other alcoholic beverages","0.01","0.01","0.02","0.01","0.01","0.02","0.00","0.00","0.00","0.00"
"Mexico","(WDT) 1961-1989; [International Consultants, S.C.] 1990-1999; (GlobalData, IWSR, OIV) 2000-2006; Mexico 2007-2016","All types","4.37","4.27","4.24","5.20","5.03","5.00","5.01","4.92","5.02","5.16"
"Mexico","(WDT) 1961-1989; [International Consultants, S.C.] 1990-1999; (GlobalData, IWSR, OIV) 2000-2006; Mexico 2007-2016","Beer","3.83","3.68","3.76","4.01","3.89","3.80","3.77","3.69","3.74","3.76"
"Mexico","(WDT) 1961-1989; [International Consultants, S.C.] 1990-1999; (GlobalData, IWSR, OIV) 2000-2006; Mexico 2007-2016","Wine","0.19","0.21","0.20","0.09","0.09","0.11","0.11","0.09","0.09","0.09"
"Mexico","(WDT) 1961-1989; [International Consultants, S.C.] 1990-1999; (GlobalData, IWSR, OIV) 2000-2006; Mexico 2007-2016","Spirits","0.26","0.28","0.23","1.05","1.00","1.05","1.08","1.10","1.15","1.26"
"Mexico","(WDT) 1961-1989; [International Consultants, S.C.] 1990-1999; (GlobalData, IWSR, OIV) 2000-2006; Mexico 2007-2016","Other alcoholic beverages","0.09","0.10","0.05","0.05","0.05","0.05","0.05","0.05","0.05","0.05"
"Micronesia (Federated States of)","(FAO) 1961-1999; (FAO, WHO ) 2000-2009; WHO 2010-2014","All types","2.05","1.97","1.63","1.73","1.90","2.03","3.16","2.79","2.83","2.23"
"Micronesia (Federated States of)","(FAO) 1961-1999; (FAO, WHO ) 2000-2009; WHO 2010-2014","Beer","1.18","1.02","0.72","0.71","1.49","1.69","3.05","2.69","2.75","2.14"
"Micronesia (Federated States of)","(FAO) 1961-1999; (FAO, WHO ) 2000-2009; WHO 2010-2014","Wine","0.03","0.18","0.14","0.09","0.16","0.19","0.04","0.04","0.02","0.01"
"Micronesia (Federated States of)","(FAO) 1961-1999; (FAO, WHO ) 2000-2009; WHO 2010-2014","Spirits","0.85","0.76","0.77","0.94","0.25","0.14","0.06","0.07","0.07","0.07"
"Micronesia (Federated States of)","(FAO) 1961-1999; (FAO, WHO ) 2000-2009; WHO 2010-2014","Other alcoholic beverages","0","0","0","0","0","0","0","0","0","0"
"Mongolia","(FAO) 1961-1999; National Statistical Office of Mongolia 2000-2018","All types","6.56","8.92","9.12","4.59","5.17","1.70","1.67","2.41","2.18","2.15"
"Mongolia","(FAO) 1961-1999; National Statistical Office of Mongolia 2000-2018","Beer","1.11","1.05","0.94","0.41","0.38","0.54","0.55","0.53","0.55","0.67"
"Mongolia","(FAO) 1961-1999; National Statistical Office of Mongolia 2000-2018","Wine","1.07","0.97","0.80","0.71","0.54","0.64","0.64","0.70","0.65","0.51"
"Mongolia","(FAO) 1961-1999; National Statistical Office of Mongolia 2000-2018","Spirits","4.38","6.90","7.38","3.47","4.25","0.52","0.48","1.19","0.99","0.97"
"Mongolia","(FAO) 1961-1999; National Statistical Office of Mongolia 2000-2018","Other alcoholic beverages","0","0","0","0","0","0","0","0","0","0"
"Montenegro","(GlobalData, IWSR, OIV, Statistical Yearbook) 2006-2018","All types","10.17","10.89","9.68","10.38","","","","","",""
"Montenegro","(GlobalData, IWSR, OIV, Statistical Yearbook) 2006-2018","Beer","4.47","5.46","5.26","5.11","","","","","",""
"Montenegro","(GlobalData, IWSR, OIV, Statistical Yearbook) 2006-2018","Wine","3.22","2.92","1.96","2.87","","","","","",""
"Montenegro","(GlobalData, IWSR, OIV, Statistical Yearbook) 2006-2018","Spirits","2.31","2.29","2.25","2.20","","","","","",""
"Montenegro","(GlobalData, IWSR, OIV, Statistical Yearbook) 2006-2018","Other alcoholic beverages","0.18","0.23","0.22","0.21","","","","","",""
"Morocco","(WDT) 1961-1999; (FAO, GlobalData, IWSR, OIV) 2000-2018","All types","0.53","0.50","0.48","0.48","0.46","0.47","0.48","0.46","0.45","0.45"
"Morocco","(WDT) 1961-1999; (FAO, GlobalData, IWSR, OIV) 2000-2018","Beer","0.23","0.24","0.22","0.22","0.23","0.22","0.22","0.24","0.23","0.21"
"Morocco","(WDT) 1961-1999; (FAO, GlobalData, IWSR, OIV) 2000-2018","Wine","0.20","0.17","0.18","0.19","0.17","0.19","0.20","0.18","0.18","0.19"
"Morocco","(WDT) 1961-1999; (FAO, GlobalData, IWSR, OIV) 2000-2018","Spirits","0.10","0.09","0.08","0.07","0.06","0.06","0.06","0.05","0.05","0.04"
"Morocco","(WDT) 1961-1999; (FAO, GlobalData, IWSR, OIV) 2000-2018","Other alcoholic beverages","0","0","0","0","0","0","0","0","0","0"
"Mozambique","(FAO) 1961-1999; (FAO, GlobalData, IWSR) 2000-2018","All types","0.69","0.74","0.69","0.59","0.60","0.59","0.60","0.66","0.65","0.65"
"Mozambique","(FAO) 1961-1999; (FAO, GlobalData, IWSR) 2000-2018","Beer","0.57","0.59","0.55","0.51","0.52","0.50","0.46","0.44","0.52","0.54"
"Mozambique","(FAO) 1961-1999; (FAO, GlobalData, IWSR) 2000-2018","Wine","0.07","0.08","0.09","0.08","0.07","0.07","0.06","0.13","0.07","0.07"
"Mozambique","(FAO) 1961-1999; (FAO, GlobalData, IWSR) 2000-2018","Spirits","0.05","0.06","0.04","0.00","0.00","0.02","0.02","0.02","0.02","0.02"
"Mozambique","(FAO) 1961-1999; (FAO, GlobalData, IWSR) 2000-2018","Other alcoholic beverages","0.00","0.00","0.00","0.00","0.00","0.00","0.06","0.07","0.05","0.03"
"Myanmar","(FAO) 1961-1999; (GlobalData, IWSR) 2000-2018","All types","0.88","0.79","0.75","0.67","0.63","0.64","0.61","0.14","0.12","0.12"
"Myanmar","(FAO) 1961-1999; (GlobalData, IWSR) 2000-2018","Beer","0.14","0.13","0.12","0.12","0.13","0.13","0.13","0.13","0.11","0.10"
"Myanmar","(FAO) 1961-1999; (GlobalData, IWSR) 2000-2018","Wine","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"Myanmar","(FAO) 1961-1999; (GlobalData, IWSR) 2000-2018","Spirits","0.74","0.66","0.62","0.55","0.50","0.50","0.48","0.01","0.01","0.01"
"Myanmar","(FAO) 1961-1999; (GlobalData, IWSR) 2000-2018","Other alcoholic beverages","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"Namibia","(FAO) 1961-1999; (FAO, GlobalData, IWSR) 2000-2018","All types","1.35","1.01","1.90","1.87","1.97","1.89","2.29","1.99","2.29","2.65"
"Namibia","(FAO) 1961-1999; (FAO, GlobalData, IWSR) 2000-2018","Beer","1.11","0.77","0.64","0.60","0.60","0.52","0.55","0.73","0.86","0.75"
"Namibia","(FAO) 1961-1999; (FAO, GlobalData, IWSR) 2000-2018","Wine","0.02","0.03","0.28","0.23","0.11","0.12","0.67","0.29","0.52","0.88"
"Namibia","(FAO) 1961-1999; (FAO, GlobalData, IWSR) 2000-2018","Spirits","0.07","0.04","0.79","0.80","0.98","0.99","0.82","0.75","0.69","0.80"
"Namibia","(FAO) 1961-1999; (FAO, GlobalData, IWSR) 2000-2018","Other alcoholic beverages","0.15","0.16","0.20","0.24","0.29","0.25","0.25","0.21","0.22","0.22"
"Nauru","(FAO) 2000-2013","All types","1.84","2.33","2.04","2.01","1.82","2.52","2.32","2.93","2.88","5.52"
"Nauru","(FAO) 2000-2013","Beer","1.69","1.69","1.69","1.68","1.68","1.69","1.70","1.71","2.88","4.18"
"Nauru","(FAO) 2000-2013","Wine","0.04","0.04","0.05","0.04","0.02","0.12","0.09","0.14","0","0"
"Nauru","(FAO) 2000-2013","Spirits","0.12","0.60","0.30","0.30","0.12","0.71","0.54","1.08","0","1.34"
"Nauru","(FAO) 2000-2013","Other alcoholic beverages","0","0","0","0","0","0","0","0","0","0"
"Nepal","(FAO) 1961-1999; (FAO, GlobalData, Wine Institute) 2000-2017","All types","0.22","0.20","0.20","0.19","0.22","0.23","0.20","0.19","0.09","0.08"
"Nepal","(FAO) 1961-1999; (FAO, GlobalData, Wine Institute) 2000-2017","Beer","0.09","0.08","0.08","0.07","0.08","0.08","0.08","0.08","0.08","0.07"
"Nepal","(FAO) 1961-1999; (FAO, GlobalData, Wine Institute) 2000-2017","Wine","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"Nepal","(FAO) 1961-1999; (FAO, GlobalData, Wine Institute) 2000-2017","Spirits","0.12","0.12","0.12","0.12","0.14","0.14","0.11","0.11","0.01","0.01"
"Nepal","(FAO) 1961-1999; (FAO, GlobalData, Wine Institute) 2000-2017","Other alcoholic beverages","0.00","0.00","0.00","0","0.00","0.00","0.00","0.00","0.00","0"
"Netherlands (Kingdom of the)","(WDT) 1961-1999; STAP-Dutch Institute for Alcohol Policy 2000-2018","All types","9.12","9.51","9.45","9.58","9.50","9.57","9.48","9.72","9.82","10.13"
"Netherlands (Kingdom of the)","(WDT) 1961-1999; STAP-Dutch Institute for Alcohol Policy 2000-2018","Beer","4.42","4.79","4.71","4.86","4.79","4.86","4.88","4.89","4.94","5.08"
"Netherlands (Kingdom of the)","(WDT) 1961-1999; STAP-Dutch Institute for Alcohol Policy 2000-2018","Wine","3.16","3.15","3.16","3.16","3.13","3.03","2.76","2.79","2.78","2.77"
"Netherlands (Kingdom of the)","(WDT) 1961-1999; STAP-Dutch Institute for Alcohol Policy 2000-2018","Spirits","1.54","1.57","1.58","1.57","1.58","1.68","1.84","2.03","2.10","2.28"
"Netherlands (Kingdom of the)","(WDT) 1961-1999; STAP-Dutch Institute for Alcohol Policy 2000-2018","Other alcoholic beverages","0","0","0","0","0","0","0","0","0","0"
"New Zealand","(WDT) 1963-1996; Statistics New Zealand 1997-2018","All types","9.24","9.48","9.20","9.36","9.32","9.17","8.92","9.09","8.69","8.83"
"New Zealand","(WDT) 1963-1996; Statistics New Zealand 1997-2018","Beer","3.78","4.03","3.94","3.95","4.10","4.11","4.17","4.24","4.17","4.22"
"New Zealand","(WDT) 1963-1996; Statistics New Zealand 1997-2018","Wine","3.04","3.04","3.00","3.10","2.99","2.85","2.73","2.74","2.51","2.57"
"New Zealand","(WDT) 1963-1996; Statistics New Zealand 1997-2018","Spirits","1.29","1.30","1.17","1.34","1.37","1.45","1.26","1.34","1.29","1.37"
"New Zealand","(WDT) 1963-1996; Statistics New Zealand 1997-2018","Other alcoholic beverages","1.14","1.11","1.08","0.96","0.86","0.76","0.76","0.78","0.72","0.68"
"Nicaragua","(FAO) 1961-1999; (GlobalData, IWSR) 2000-2018","All types","3.32","3.59","3.77","3.64","3.65","3.75","3.72","3.46","3.48","3.58"
"Nicaragua","(FAO) 1961-1999; (GlobalData, IWSR) 2000-2018","Beer","1.30","1.36","1.28","1.17","1.12","1.07","1.08","1.03","1.04","1.04"
"Nicaragua","(FAO) 1961-1999; (GlobalData, IWSR) 2000-2018","Wine","0.02","0.02","0.02","0.02","0.02","0.01","0.01","0.01","0.01","0.01"
"Nicaragua","(FAO) 1961-1999; (GlobalData, IWSR) 2000-2018","Spirits","2.00","2.21","2.46","2.46","2.51","2.67","2.63","2.42","2.43","2.52"
"Nicaragua","(FAO) 1961-1999; (GlobalData, IWSR) 2000-2018","Other alcoholic beverages","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"Niger","(FAO) 1961-1999; (FAO, GlobalData, Wine Institute) 2000-2017","All types","0.10","0.11","0.10","0.10","0.10","0.10","0.10","0.09","0.09","0.09"
"Niger","(FAO) 1961-1999; (FAO, GlobalData, Wine Institute) 2000-2017","Beer","0.05","0.05","0.05","0.05","0.05","0.05","0.05","0.05","0.06","0.06"
"Niger","(FAO) 1961-1999; (FAO, GlobalData, Wine Institute) 2000-2017","Wine","0.01","0.01","0.01","0.01","0.02","0.01","0.01","0.01","0.01","0.01"
"Niger","(FAO) 1961-1999; (FAO, GlobalData, Wine Institute) 2000-2017","Spirits","0.04","0.04","0.04","0.04","0.03","0.04","0.03","0.03","0.02","0.02"
"Niger","(FAO) 1961-1999; (FAO, GlobalData, Wine Institute) 2000-2017","Other alcoholic beverages","0.00","0.00","0.00","0.00","0","0","0","0","0","0"
"Nigeria","(FAO) 1961-1999; (FAO, GlobalData, IWSR) 2000-2018","All types","10.58","10.79","11.04","11.18","11.24","11.33","11.33","11.09","11.17","11.47"
"Nigeria","(FAO) 1961-1999; (FAO, GlobalData, IWSR) 2000-2018","Beer","0.66","0.65","0.65","0.60","0.55","0.52","0.53","0.45","0.45","0.42"
"Nigeria","(FAO) 1961-1999; (FAO, GlobalData, IWSR) 2000-2018","Wine","0.03","0.06","0.04","0.01","0.01","0.01","0.01","0.00","0.01","0.00"
"Nigeria","(FAO) 1961-1999; (FAO, GlobalData, IWSR) 2000-2018","Spirits","0.03","0.03","0.06","0.02","0.02","0.01","0.02","0.00","0.02","0.00"
"Nigeria","(FAO) 1961-1999; (FAO, GlobalData, IWSR) 2000-2018","Other alcoholic beverages","9.86","10.05","10.30","10.54","10.67","10.78","10.78","10.63","10.69","11.04"
"Niue","(FAO) 1990-1999; (FAO, Wine Institute) 2000-2017","All types","6.59","9.38","4.68","6.75","6.02","8.11","8.25","5.02","9.35","7.63"
"Niue","(FAO) 1990-1999; (FAO, Wine Institute) 2000-2017","Beer","2.80","2.99","1.90","3.62","3.06","4.93","2.23","1.29","2.10","4.13"
"Niue","(FAO) 1990-1999; (FAO, Wine Institute) 2000-2017","Wine","0.55","3.14","0.24","0.24","0.09","1.41","0.09","0.96","0.20","0.20"
"Niue","(FAO) 1990-1999; (FAO, Wine Institute) 2000-2017","Spirits","3.25","3.26","2.53","2.89","2.88","1.78","5.94","2.76","7.05","3.30"
"Niue","(FAO) 1990-1999; (FAO, Wine Institute) 2000-2017","Other alcoholic beverages","0","0","0","0","0","0","0","0","0","0"
"North Macedonia","(FAO) 1992-1999; (GlobalData, IWSR, OIV) 2000-2018","All types","3.67","4.02","3.84","3.79","4.24","4.98","5.18","4.67","4.40","4.49"
"North Macedonia","(FAO) 1992-1999; (GlobalData, IWSR, OIV) 2000-2018","Beer","1.70","2.04","2.02","1.98","1.98","2.03","2.03","1.97","1.96","2.12"
"North Macedonia","(FAO) 1992-1999; (GlobalData, IWSR, OIV) 2000-2018","Wine","1.07","1.07","0.86","0.86","1.46","1.48","1.66","1.19","0.89","0.76"
"North Macedonia","(FAO) 1992-1999; (GlobalData, IWSR, OIV) 2000-2018","Spirits","0.87","0.89","0.93","0.92","0.78","1.45","1.47","1.48","1.53","1.60"
"North Macedonia","(FAO) 1992-1999; (GlobalData, IWSR, OIV) 2000-2018","Other alcoholic beverages","0.02","0.02","0.02","0.02","0.02","0.02","0.02","0.02","0.02","0.02"
"Norway","(WDT) 1961-1966;  (SIRUS) 1967-1980;  Norway 1981-1999; WHO 2000-2004;  Norway 2005-2018","All types","6.68","6.75","6.60","6.47","6.37","6.22","6.04","5.89","5.49","5.67"
"Norway","(WDT) 1961-1966;  (SIRUS) 1967-1980;  Norway 1981-1999; WHO 2000-2004;  Norway 2005-2018","Beer","2.96","3.06","3.02","3.01","2.98","2.96","2.76","2.89","2.82","2.93"
"Norway","(WDT) 1961-1966;  (SIRUS) 1967-1980;  Norway 1981-1999; WHO 2000-2004;  Norway 2005-2018","Wine","2.28","2.23","2.11","2.05","2.00","1.90","1.84","1.81","1.60","1.62"
"Norway","(WDT) 1961-1966;  (SIRUS) 1967-1980;  Norway 1981-1999; WHO 2000-2004;  Norway 2005-2018","Spirits","1.31","1.33","1.35","1.30","1.28","1.25","1.22","1.12","1.00","1.05"
"Norway","(WDT) 1961-1966;  (SIRUS) 1967-1980;  Norway 1981-1999; WHO 2000-2004;  Norway 2005-2018","Other alcoholic beverages","0.13","0.13","0.12","0.11","0.11","0.11","0.22","0.07","0.07","0.07"
"Oman","(FAO) 1961-1999; (GlobalData, IWSR, Wine Institute) 2000-2018","All types","0.50","0.51","0.52","0.54","0.60","0.59","0.55","0.53","0.54","0.38"
"Oman","(FAO) 1961-1999; (GlobalData, IWSR, Wine Institute) 2000-2018","Beer","0.20","0.21","0.20","0.21","0.21","0.21","0.20","0.23","0.27","0.13"
"Oman","(FAO) 1961-1999; (GlobalData, IWSR, Wine Institute) 2000-2018","Wine","0.02","0.01","0.01","0.01","0.01","0.01","0.01","0.01","0.01","0.01"
"Oman","(FAO) 1961-1999; (GlobalData, IWSR, Wine Institute) 2000-2018","Spirits","0.27","0.29","0.30","0.32","0.39","0.38","0.34","0.28","0.26","0.24"
"Oman","(FAO) 1961-1999; (GlobalData, IWSR, Wine Institute) 2000-2018","Other alcoholic beverages","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"Pakistan","(FAO) 1961-1999; (FAO, GlobalData, IWSR) 2000-2012; (FAO, GlobalData, IWSR, Wine Institute) 2013-2018","All types","0.04","0.04","0.03","0.03","0.04","0.01","0.01","0.01","0.01","0.01"
"Pakistan","(FAO) 1961-1999; (FAO, GlobalData, IWSR) 2000-2012; (FAO, GlobalData, IWSR, Wine Institute) 2013-2018","Beer","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"Pakistan","(FAO) 1961-1999; (FAO, GlobalData, IWSR) 2000-2012; (FAO, GlobalData, IWSR, Wine Institute) 2013-2018","Wine","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"Pakistan","(FAO) 1961-1999; (FAO, GlobalData, IWSR) 2000-2012; (FAO, GlobalData, IWSR, Wine Institute) 2013-2018","Spirits","0.03","0.03","0.03","0.03","0.03","0.00","0.00","0.00","0.00","0.00"
